No.,Time,Time 1,Time 2,,Delay 1,Delay 2,jitter,
353,3.045961,3.06321,0.017249,,0.017249,0,-0.017249,
354,3.06321,3.06321,0,,0,0,0,
355,3.06321,3.06321,0,,-7.80E-05,7.80E-05,0.000156,
356,3.06321,3.063288,7.80E-05,,-0.01511,0.015188,0.030298,
360,3.063288,3.078476,0.015188,,0.014925,0.000263,-0.014662,
362,3.078476,3.078739,0.000263,,0.00019,7.30E-05,-0.000117,
363,3.078739,3.078812,7.30E-05,,-0.013727,0.0138,0.027527,
364,3.078812,3.092612,0.0138,,0.011585,0.002215,-0.00937,
366,3.092612,3.094827,0.002215,,-0.043635,0.04585,0.089485,
367,3.094827,3.140677,0.04585,,-0.045217,0.091067,0.136284,
374,3.140677,3.231744,0.091067,,-0.01597,0.107037,0.123007,
451,3.231744,3.338781,0.107037,,0.107037,0,-0.107037,
549,3.338781,3.338781,0,,-0.000372,0.000372,0.000744,
551,3.338781,3.339153,0.000372,,-0.510724,0.511096,1.02182,
559,3.339153,3.850249,0.511096,,0.45055,0.060546,-0.390004,
961,3.850249,3.910795,0.060546,,0.017712,0.042834,0.025122,
1015,3.910795,3.953629,0.042834,,0.042635,0.000199,-0.042436,
1045,3.953629,3.953828,0.000199,,-0.000626,0.000825,0.001451,
1048,3.953828,3.954653,0.000825,,-0.016167,0.016992,0.033159,
1053,3.954653,3.971645,0.016992,,0.016774,0.000218,-0.016556,
1057,3.971645,3.971863,0.000218,,-0.000717,0.000935,0.001652,
1061,3.971863,3.972798,0.000935,,-0.009571,0.010506,0.020077,
1062,3.972798,3.983304,0.010506,,-0.001547,0.012053,0.0136,
1076,3.983304,3.995357,0.012053,,0.012053,0,-0.012053,
1081,3.995357,3.995357,0,,0,0,0,
1084,3.995357,3.995357,0,,-0.000884,0.000884,0.001768,
1086,3.995357,3.996241,0.000884,,-0.016729,0.017613,0.034342,
1088,3.996241,4.013854,0.017613,,0.017613,0,-0.017613,
1091,4.013854,4.013854,0,,0,0,0,
1093,4.013854,4.013854,0,,0,0,0,
1095,4.013854,4.013854,0,,-0.000199,0.000199,0.000398,
1097,4.013854,4.014053,0.000199,,-0.002425,0.002624,0.005049,
1098,4.014053,4.016677,0.002624,,-0.011468,0.014092,0.02556,
1100,4.016677,4.030769,0.014092,,-0.042737,0.056829,0.099566,
1128,4.030769,4.087598,0.056829,,0.056829,0,-0.056829,
1162,4.087598,4.087598,0,,0,0,0,
1164,4.087598,4.087598,0,,0,0,0,
1167,4.087598,4.087598,0,,0,0,0,
1180,4.087598,4.087598,0,,0,0,0,
1181,4.087598,4.087598,0,,0,0,0,
1183,4.087598,4.087598,0,,0,0,0,
1184,4.087598,4.087598,0,,-0.001865,0.001865,0.00373,
1187,4.087598,4.089463,0.001865,,0.001626,0.000239,-0.001387,
1193,4.089463,4.089702,0.000239,,5.80E-05,0.000181,0.000123,
1194,4.089702,4.089883,0.000181,,-0.002847,0.003028,0.005875,
1195,4.089883,4.092911,0.003028,,-0.005453,0.008481,0.013934,
1196,4.092911,4.101392,0.008481,,-0.029097,0.037578,0.066675,
1202,4.101392,4.13897,0.037578,,0.037578,0,-0.037578,
1251,4.13897,4.13897,0,,-0.001339,0.001339,0.002678,
1255,4.13897,4.140309,0.001339,,-0.084453,0.085792,0.170245,
1261,4.140309,4.226101,0.085792,,0.085792,0,-0.085792,
1321,4.226101,4.226101,0,,-0.000495,0.000495,0.00099,
1327,4.226101,4.226596,0.000495,,-0.001489,0.001984,0.003473,
1341,4.226596,4.22858,0.001984,,-0.006072,0.008056,0.014128,
1343,4.22858,4.236636,0.008056,,-0.085932,0.093988,0.17992,
1344,4.236636,4.330624,0.093988,,0.093297,0.000691,-0.092606,
1435,4.330624,4.331315,0.000691,,-0.004717,0.005408,0.010125,
1436,4.331315,4.336723,0.005408,,-0.00294,0.008348,0.011288,
1438,4.336723,4.345071,0.008348,,0.003754,0.004594,0.00084,
1449,4.345071,4.349665,0.004594,,-0.161413,0.166007,0.32742,
1458,4.349665,4.515672,0.166007,,0.166007,0,-0.166007,
1548,4.515672,4.515672,0,,0,0,0,
1559,4.515672,4.515672,0,,0,0,0,
1562,4.515672,4.515672,0,,0,0,0,
1565,4.515672,4.515672,0,,0,0,0,
1566,4.515672,4.515672,0,,0,0,0,
1567,4.515672,4.515672,0,,0,0,0,
1569,4.515672,4.515672,0,,0,0,0,
1571,4.515672,4.515672,0,,0,0,0,
1572,4.515672,4.515672,0,,0,0,0,
1573,4.515672,4.515672,0,,-0.000963,0.000963,0.001926,
1579,4.515672,4.516635,0.000963,,0.000159,0.000804,0.000645,
1582,4.516635,4.517439,0.000804,,0.000446,0.000358,-8.80E-05,
1583,4.517439,4.517797,0.000358,,-5.00E-06,0.000363,0.000368,
1584,4.517797,4.51816,0.000363,,-0.002418,0.002781,0.005199,
1586,4.51816,4.520941,0.002781,,-0.006293,0.009074,0.015367,
1588,4.520941,4.530015,0.009074,,-0.008561,0.017635,0.026196,
1589,4.530015,4.54765,0.017635,,0.017635,0,-0.017635,
1632,4.54765,4.54765,0,,-0.001204,0.001204,0.002408,
1634,4.54765,4.548854,0.001204,,-0.011566,0.01277,0.024336,
1639,4.548854,4.561624,0.01277,,-0.078401,0.091171,0.169572,
1652,4.561624,4.652795,0.091171,,0.085472,0.005699,-0.079773,
1735,4.652795,4.658494,0.005699,,-0.086117,0.091816,0.177933,
1750,4.658494,4.75031,0.091816,,0.091816,0,-0.091816,
1837,4.75031,4.75031,0,,-0.00018,0.00018,0.00036,
1839,4.75031,4.75049,0.00018,,-0.000601,0.000781,0.001382,
1841,4.75049,4.751271,0.000781,,0.000694,8.70E-05,-0.000607,
1843,4.751271,4.751358,8.70E-05,,-1.10E-05,9.80E-05,0.000109,
1844,4.751358,4.751456,9.80E-05,,-1.20E-05,0.00011,0.000122,
1845,4.751456,4.751566,0.00011,,-0.029987,0.030097,0.060084,
1846,4.751566,4.781663,0.030097,,0.030097,0,-0.030097,
1859,4.781663,4.781663,0,,0,0,0,
1863,4.781663,4.781663,0,,0,0,0,
1864,4.781663,4.781663,0,,0,0,0,
1865,4.781663,4.781663,0,,-0.000177,0.000177,0.000354,
1866,4.781663,4.78184,0.000177,,-0.00306,0.003237,0.006297,
1875,4.78184,4.785077,0.003237,,-0.03837,0.041607,0.079977,
1877,4.785077,4.826684,0.041607,,0.041607,0,-0.041607,
1923,4.826684,4.826684,0,,-0.124088,0.124088,0.248176,
1924,4.826684,4.950772,0.124088,,0.124088,0,-0.124088,
2035,4.950772,4.950772,0,,0,0,0,
2036,4.950772,4.950772,0,,0,0,0,
2041,4.950772,4.950772,0,,-0.000245,0.000245,0.00049,
2046,4.950772,4.951017,0.000245,,0.000169,7.60E-05,-9.30E-05,
2049,4.951017,4.951093,7.60E-05,,-0.00922,0.009296,0.018516,
2050,4.951093,4.960389,0.009296,,0.009296,0,-0.009296,
2057,4.960389,4.960389,0,,-0.000322,0.000322,0.000644,
2061,4.960389,4.960711,0.000322,,0.000142,0.00018,3.80E-05,
2065,4.960711,4.960891,0.00018,,5.80E-05,0.000122,6.40E-05,
2066,4.960891,4.961013,0.000122,,0.000122,0,-0.000122,
2068,4.961013,4.961013,0,,-4.50E-05,4.50E-05,9.00E-05,
2072,4.961013,4.961058,4.50E-05,,-3.30E-05,7.80E-05,0.000111,
2073,4.961058,4.961136,7.80E-05,,-0.025286,0.025364,0.05065,
2074,4.961136,4.9865,0.025364,,0.025364,0,-0.025364,
2080,4.9865,4.9865,0,,0,0,0,
2086,4.9865,4.9865,0,,0,0,0,
2090,4.9865,4.9865,0,,-0.000131,0.000131,0.000262,
2094,4.9865,4.986631,0.000131,,-0.043409,0.04354,0.086949,
2099,4.986631,5.030171,0.04354,,-0.02386,0.0674,0.09126,
2132,5.030171,5.097571,0.0674,,0.067158,0.000242,-0.066916,
2147,5.097571,5.097813,0.000242,,-0.052059,0.052301,0.10436,
2148,5.097813,5.150114,0.052301,,0.052301,0,-0.052301,
2190,5.150114,5.150114,0,,0,0,0,
